ZINC Number	Mol Weight	Formula	Smiles	Pathway	Mean (30 mM)	Stdev (30 mM)
ZINC00335583	232.23	C9H7F3N2S	Cc1cc(c2c(csc2n1)N)C(F)(F)F	Proteasome I-lact-mg 132	1.05	0.02
ZINC00336105	313.31	C15H15N5O3	c1cc(ccc1/C=N/NC(=O)c2c3c([nH]n2)CCCC3)[N+](=O)[O-]	MeC	0.98	0.02
ZINC00336117	314.34	C16H18N4O3	COc1ccc(cc1O)/C=N/NC(=O)c2c3c([nH]n2)CCCC3	MeC	1.04	0.04
ZINC00336277	229.30	C13H11NOS	c1ccc(cc1)SC(=O)c2ccccc2N	Autophagy	0.97	0.05
ZINC00338895	173.21	C11H11NO	CCc1cccc2c1[nH]cc2C=O	AKT1	0.99	0.05
ZINC00342851	339.35	C18H17N3O4	Cc1ccc(cc1)C(=O)N2[C@@](CC(=N2)c3ccc(cc3)[N+](=O)[O-])(C)O	Proteasome I-lact-mg 132	1.02	0.06
ZINC00345858	183.27	C11H19O2	C[C@@H]1C[C@](CCC1(C)C)(C)C(=O)[O-]	CYS path	0.99	0.09
ZINC00347774	268.40	C17H18NS	C[NH+]1Cc2cccc3c2[C@@H](C1)Cc4ccccc4S3	Proteasome inducers	0.73	0.13
ZINC00350678	334.39	C16H18N2O4S	COc1cc(c(cc1OC)OC)/C=N/NC(=O)Cc2cccs2	PI3K	1.04	0.01
ZINC00355604	341.33	C16H18F3N3O2	c1cnccc1C(=O)N2[C@](CC(=N2)C3CCCCC3)(C(F)(F)F)O	Proteasome I-lact-mg 132	0.90	0.03
ZINC00368768	296.32	C17H16N2O3	CNC(=O)c1cc2c(n(c1=O)c3ccccc3)CCCC2=O	E3 ligase	0.95	0.10
ZINC00374682	284.31	C16H16N2O3	CCOc1ccc(cc1)[C@H]2Nc3ccccc3C(=O)N2O	Lip	1.00	0.00
ZINC00378072	324.32	C14H11F3N4S	c1ccnc(c1)/C(=N\NC(=S)N)/c2ccc(cc2)C(F)(F)F	E3 ligase	1.02	0.21
ZINC00385668	254.28	C16H14O3	COc1ccc(cc1)[C@H]2Cc3ccccc3C(=O)O2	Lip	1.05	0.04
ZINC00386647	223.27	C15H13NO	c1ccc(cc1)[C@H]2CC(=O)N2c3ccccc3	Lip	0.94	0.10
ZINC00386690	295.74	C14H16ClN2O3	c1cc(cc(c1)Cl)N2CCN(CC2)C(=O)CCC(=O)[O-]	CYS path	1.26	0.31
ZINC00386725	275.32	C15H19N2O3	Cc1cccc(c1)N2CCN(CC2)C(=O)CCC(=O)[O-]	CYS path	1.04	0.05
ZINC00389849	138.16	C8H10O2	Cc1cc(c(c(c1)O)C)O	Proteasome I-lact-mg 132	0.99	0.01
ZINC00391674	229.32	C15H19NO	CC(=O)N1c2ccccc2[C@@]3([C@@H]1CCCC3)C	Proteasome inducers	0.97	0.10
ZINC00393308	191.25	C12H15O2	CC(C)C[C@H](c1ccccc1)C(=O)[O-]	CYS path	0.92	0.03
ZINC00393738	206.28	C13H18O2	COc1ccc(cc1)[C@@H]2CCCC[C@H]2O	FASII-PDIM metabolism	1.05	0.08
ZINC00393739	206.28	C13H18O2	COc1ccc(cc1)[C@H]2CCCC[C@@H]2O	FASII-PDIM metabolism	1.09	0.14
ZINC00397632	224.25	C15H12O2	c1ccc(cc1)[C@H]2Cc3ccccc3C(=O)O2	Lip	1.19	0.04
ZINC00398524	250.25	C12H14N2O4	CCOc1cc2c(cc1OCC)[nH]c(=O)[nH]c2=O	E3 ligase	0.99	0.18
ZINC00401596	339.39	C20H21NO4	c1ccc(cc1)C(=O)N2CCC[C@H]([C@H]2COC(=O)c3ccccc3)O	Proteasome I-lact-mg 132	0.99	0.10
ZINC00402777	300.37	C18H22NO3	C[NH+]1CC[C@]23c4c5ccc(c4O[C@H]2[C@@H](C=C[C@H]3[C@H]1C5)O)OC	Proteasome inducers	0.99	0.14
ZINC00403600	312.38	C19H22NO3	C[NH+]1CC[C@@]23c4c5ccc(c4O[C@@H]2C(=CC=C3[C@@H]1C5)OC)OC	Proteasome inducers	1.01	0.06
ZINC00408670	251.28	C15H13N3O	CC1=C(C(C(=C(N1)C)C#N)c2cccc(c2)O)C#N	Proteasome inducers	1.03	0.09
ZINC00409927	229.27	C14H15NO2	COc1ccc(cc1)NCc2ccccc2O	TRP path	0.84	0.01
ZINC00419037	264.32	C17H16N2O	Cc1ccc(cc1)NCc2cc(=O)[nH]c3c2cccc3	CD36	0.96	0.00
ZINC00435382	255.28	C13H13N5O	c1ccnc(c1)/C=N/NC(=O)c2c3c([nH]n2)CCC3	MeC	0.82	0.14
ZINC00435386	314.34	C16H18N4O3	COc1cc(ccc1O)/C=N/NC(=O)c2c3c([nH]n2)CCCC3	MeC	0.88	0.12
ZINC00437832	260.72	C14H13ClN2O	c1ccc(cc1)[C@H](c2ccccc2Cl)NC(=O)N	Lip	0.96	0.12
ZINC00439984	257.22	C14H9O5	c1ccc(c(c1)C(=O)c2ccc(cc2O)O)C(=O)[O-]	TRP path	0.76	0.15
ZINC00458873	346.38	C20H18N4O2	Cc1c(ccc(c1O)c2c(c[nH]n2)c3cnn(c3)c4ccccc4)OC	ATPase	1.01	0.06
ZINC00464461	290.31	C15H18N2O4	C[C@@H]1CN(C[C@H](O1)C)C(=O)/C=C/c2ccc(cc2)[N+](=O)[O-]	HIS path	0.88	0.10
ZINC00470274	260.38	C15H24N4	Cc1cc(nc(n1)N2CCCCC2)N3CCCCC3	Calcineurin1	0.88	0.08
ZINC00474617	323.32	C18H14FN3O2	c1ccc2c(c1)c(c[nH]2)C[C@H]3C(=O)N(C(=O)N3)c4ccc(cc4)F	MeC	1.11	0.15
ZINC00479991	211.26	C14H13NO	Cc1c(c(ccn1)c2ccccc2)C(=O)C	AKT1	1.05	0.09
ZINC00485519	339.78	C18H14ClN3O2	c1ccc2c(c1)c(c[nH]2)C[C@@H]3C(=O)N(C(=N3)O)c4ccc(cc4)Cl	MeC	1.27	0.08
ZINC00485539	339.78	C18H14ClN3O2	c1ccc2c(c1)c(c[nH]2)C[C@H]3C(=O)N(C(=O)N3)c4cccc(c4)Cl	MeC	1.29	0.17
ZINC00487871	288.36	C17H22NO3	C[NH+]1CC[C@]23C=C[C@H](C[C@H]2Oc4c3c(ccc4OC)C1)O	Proteasome inducers	1.01	0.11
ZINC00488396	333.32	C19H13N2O4	c1ccc2c(c1)c(c[nH]2)CCN3C(=O)c4ccc(cc4C3=O)C(=O)[O-]	CYS path	0.98	0.04
ZINC00489468	345.39	C21H19N3O2	CN1CC(=O)N2[C@H](C1=O)Cc3c4ccccc4[nH]c3[C@@H]2c5ccccc5	E3 ligase	0.83	0.11
ZINC00493635	298.34	C17H18N2O3	Cc1cccc(c1)C(=O)N/N=C/c2ccc(c(c2)OC)OC	PI3K	1.12	0.11
ZINC00495214	269.41	C13H23N3OS	C1CCC2(CC1)[C@@H]3CCCC[C@@]3(N(C(=S)N2)N)O	Proteasome I-lact-mg 132	1.03	0.03
ZINC00505373	237.26	C14H11N3O	c1ccc(cc1)c2[nH]nc(n2)c3ccc(cc3)O	ABC transporters	1.48	0.39
ZINC00506492	263.72	C13H14ClN3O	Cc1c(c(nc(n1)N)Cl)Cc2ccc(cc2)OC	AKT1	1.09	0.09
ZINC00507667	271.44	C13H21NOS2	CC1(C[C@@]2(CCCN3[C@@H]2SCC3=O)CCS1)C	Proteasome inducers	1.02	0.10
ZINC00517836	299.37	C18H21NO3	C[NH+]1CC[C@@]23c4c5ccc(c4O[C@@H]2C(=O)CC[C@@H]3[C@@H]1C5)OC	Proteasome inducers	1.00	0.07
ZINC00521146	337.76	C18H12ClN3O2	Cc1ccc(cc1)n2c3cc(ccc3cc-4c(=O)[nH]c(=O)nc24)Cl	E3 ligase	0.85	0.04
ZINC00521574	341.72	C17H9ClFN3O2	c1cc(ccc1n2c3cc(ccc3cc-4c(=O)[nH]c(=O)nc24)Cl)F	E3 ligase	1.04	0.01
ZINC00526730	301.34	C15H19N5O2	CCOC(=O)c1cnc(nc1N2CCCC2)n3cc(cn3)C	Calcineurin1	1.08	0.04
ZINC00530430	256.28	C10H12N2O4S	CCOC(=O)[C@@]1(CC(=O)OC1)c2nc(cs2)N	Proteasome inducers	0.87	0.03
ZINC00532032	329.40	C17H23N5O2	CCOC(=O)c1cnc(nc1N2CCCCC2)n3c(cc(n3)C)C	Calcineurin1	1.44	0.06
ZINC00549930	334.40	C18H14N4OS	c1ccc(cc1)C[C@H]2c3c(n[nH]c3OC(=C2C#N)N)c4cccs4	PI3K	1.01	0.08
ZINC00551737	262.26	C13H14N2O4	CCc1c2cc(ccc2[nH]c1C(=O)OCC)[N+](=O)[O-]	CD36	1.02	0.09
ZINC00554850	318.39	C16H18N2O3S	CCOc1ccc(cc1OC)/C=N/NC(=O)Cc2cccs2	PI3K	0.93	0.08
ZINC00586997	298.34	C17H18N2O3	Cc1ccc(cc1)C(=O)N/N=C/c2ccc(c(c2)OC)OC	PI3K	0.88	0.02
ZINC00619511	289.28	C15H15NO5	COC(=O)C1=CNC=C(C1c2cccc(c2)O)C(=O)OC	Proteasome inducers	0.98	0.03
ZINC00757041	260.39	C17H26NO	c1ccc(cc1)C2CCC(CC2)[NH+]3CCC(CC3)O	Autophagy	1.21	0.32
ZINC00790529	257.33	C16H19NO2	Cc1ccc(cc1)NC[C@H](c2ccc(cc2)OC)O	TRP path	0.92	0.02
ZINC00818584	262.35	C13H22N6	CCNc1nc(nc(n1)N2CCCC2)N3CCCC3	Calcineurin1	0.98	0.08
ZINC00831987	207.27	C12H17NO2	CC(C)CNC(=O)c1ccccc1OC	Autophagy	1.00	0.07
ZINC00843023	266.34	C17H18N2O	Cc1ccc(cc1)[C@H]2N(c3ccccc3C(=O)N2C)C	Lip	1.01	0.03
ZINC00843027	270.30	C16H15FN2O	CN1c2ccccc2C(=O)N([C@H]1c3ccc(cc3)F)C	Lip	1.07	0.05
ZINC00873712	189.21	C11H11NO2	Cc1c2cc(ccc2[nH]c1C=O)OC	CD36	0.84	0.09
ZINC00899897	420.46	C25H24O6	CC(=CCc1c(c2c(=O)c(coc2c3c1OC(C=C3)(C)C)c4ccc(c(c4)O)O)O)C		1.08	0.21
